sno,brand,industry
1,Kwality Walls,Food and Drink
2,Cornetto,Food and Drink
3,Magnum,Food and Drink
4,Knorr,Food and Drink
5,Lipton,Food and Drink
6,Bru,Food and Drink
7,Annapurna,Food and Drink
8,3 Roses,Food and Drink
9,Red Label,Food and Drink
10,Taaza,Food and Drink
11,Taj Mahal,Food and Drink
12,Kissan,Food and Drink
13,Cif,Home Care
14,Comfort,Home Care
15,Active Wheel 2 in 1,Home Care
16,Domex,Home Care
17,Rin,Home Care
18,Surf Excel,Home Care
19,Vim,Home Care
21,Axe,Personal Care
22,Dove,Personal Care
23,Lifebuoy,Personal Care
24,Lux,Personal Care
25,Pepsodent,Personal Care
26,Ponds,Personal Care
27,Sunsilk,Personal Care
29,TRESemme,Personal Care
30,Vaseline,Personal Care
31,Aviance,Personal Care
34,Clear,Personal Care
35,Closeup,Personal Care
36,Fair & Lovely,Personal Care
37,Pears,Personal Care
38,Lakme,Personal Care
39,TIGI,Personal Care
40,Toni&Guy,Personal Care
41,Brylcreem,Personal Care
42,Clinic Plus,Personal Care
43,Elle 18,Personal Care
44,Hamam,Personal Care
45,Indulekha,Personal Care
46,Lever ayush,Personal Care
47,Liril,Personal Care
48,Pure Derm,Personal Care
49,Rexona,Personal Care
50,PureIT,Water Purifier
